filename,title,level,description
meta,Patchwork Challenge data,0,Ouvrir ses données en 1 semaine
1.intro,1️⃣ Jour 1 : diagnostic,1,
1.1.maturite,Évaluer la maturité open data de la collectivité,1.1,
1.2.besoins,Recueillir les envies et les besoins open data de la collectivité,1.2,
1.3.wishlist,Rédiger une wish list des jeux de données,,
2.intro,2️⃣ Jour 2 : identification,2,
2.1.explo,Exploration à la recherche de données,2.1,
2.2.orga,Compléter l'organigramme de la donnée,2.2,
2.3.evalqual,Evaluer le travail de mise en qualité ,,
2.4.wanteddatalist,S’engager sur une wanted data list,,
3.intro,3️⃣ Jour 3 : qualification,3,
3.1.nettoyage,Nettoyer les données,3.1,
3.2.standard,Standardiser les données,3.2,
3.3.validschema,Valider le schéma des données,3.3,
4.intro,4️⃣ Jour 4 : publication,4,
4.1.fichedesc,Compléter la fiche descriptive des jeux de données,4.1,
4.2.publiod,Publication des données et de la fiche descriptive sur un portail open data,4.2,
4.3.comm,Préparation de la communication de la commune autour de l’ouverture des données,,
5.intro,5️⃣ Jour 5 : valorisation,5,
5.1.datavis,Réalisation de datavisualisations avec les données publiées ,5.1,
5.2.contextdatavis,Contextualisation des datavisualisations réalisées,5.2,
5.3.publicationdavavis,Publication des datavisualisations ,5.3,
,,5.4,
