filename,title,level,description
meta,Patchwork Rédiger un Plan de Gestion de données (PGD),0,Un parcours d'accompagnement de bout-en-bout pour construire son Plan de Gestion des Données
1.intro,🧲Préparer l’acquisition des données,1,
1.1.identifier-prod,Identifier les produits de recherche du projet,1.1,
1.2.expliquer,Expliquer si les données sont réutilisées ou collectées,1.2,
1.3.choix-format,Choisir le meilleur format de données,1.3,
1.4.respect-rgpd,Respecter la législation sur les données à caractère personnel,1.4,
1.5.enjeux-pi,Identifier les enjeux de propriété intellectuelle,1.5,
1.6.principes-ethiques,Respecter les principes éthiques,1.6,
2.intro,🛠️Préparer le traitement  des données,2,
2.1.md-doc,Décrire les métadonnées et la documentation des données,2.1,
2.2.qualite,Décrire la mise en qualité des données,2.2,
2.3.anonymiser,Décrire les opérations de pseudonymisation et/ou anonymisation,2.3,
3.intro,💥Préparer l’accès et le partage,3,
3.1.id-perenne,Prévoir l'attribution d'identifiant pérenne aux données ,3.1,
3.2.stokage,Décrire le stockage et la sauvegarde des données,3.2,
3.3.securiser,Choisir la solution de sécurisation la plus adaptée ,3.3,
3.4.cond-acces,Déterminer les conditions d'accès aux données à l'issue du projet,3.4,
3.5.entrepot,Choisir un entrepôt où déposer les données ,3.5,
4.intro,📦Préparer la conservation et l’archivage,4,
4.1.dua-sf,Déterminer la durée et le lieu d'archivage des données,4.1,
4.2.eval-cout,header 4.2 Évaluer le coût de gestion des données,4.2,
5.intro,♻️Préparer la réutilisation des données,5,
5.1.licence,Déterminer la licence appliquée aux données,5.1,
5.2.outil-reut,Indiquer les outils nécessaires pour réutiliser les données,5.2,
5.3.responsabilite,Déterminer les responsabilités pour la gestion des données et du PGD,5.3,


