name,title,image,description,type,index,date,license,pin,authors,tags,partners,partners-names,partners-images,references_catalog,reference-title
agent-conversationnel-decouvrabilite,Un agent conversationnel pour améliorer la découvrabilité des données ouvertes,/images/products/screen-conciergerie.png,Comment permettre aux utilisateurs de portails open data de trouver plus facilement des jeux de données ?,Bibliographie,1,2021-11-11,ccbysa,,"mathieu-morey,anthony-gigerich","IA,découvrabilité,portail",,,,,
ameliorer-qualite-documentation,Documenter et améliorer la qualité des données,/images/docs/ameliorer-qualite-documentation.jpeg,Quelles sont les meilleures pratiques pour documenter des jeux de données et améliorer leur qualité ?,Formation,1,2021-01-12,ccbysa,,sylvain-lapoix,"qualité,documentation,format",futurocite,Futurocité,/images/partners/futurocite.jpeg,,
atelier-indicateurs-spaser,Atelier indicateurs SPASER,/images/docs/spaser-atelier.png,Co-construire les indicateurs de votre SPASER avec vos données (ouvertes),Formation,1,2022-05-21,ccbysa,,"emeline-vandeven,clement-mandron","commande publique,DECP,territoires,législation,collectivités",,,,,
barometre-data-territoires-2023,Baromètre de la data dans les territoires 2023,/images/docs/rapport-data-publica-barometre-national-donnees-territoires.jpg,Deuxième édition du baromètre national sur la data dans les territoires par l’observatoire Data Publica et ses partenaires,Cas pratique,1,2023-12-05,ccbysa,,"joel-gombin,diane-thierry,elise-ho-pun-cheung","territoires,collectivités,gouvernance,transition énergétique,IA,RGPD,statistique",observatoire-data-publica,Observatoire Data Publica,/images/partners/observatoire-data-publica.png,,
benchmark-data-culture,Benchmark des portails open data culturels,/images/docs/benchmark-data-culture.png,"Une liste de potails open data dédiés à la culture, en France et dans le monde",Liste de ressources,1,2023-04-01,ccbysa,,magalie-dartus,"benchmark,culture,portail",,,,,
benchmark-datalab,Benchmark des datalabs,/images/docs/datalab-painting.jpg,La liste des datalabs français et leurs caractéristiques,Liste de ressources,1,2022-01-01,ccbysa,,guillaume-martin,"datalab,stratégie,lab,benchmark",metropole-bordeaux,Bordeaux Métropole,/images/partners/metropole-bordeaux.jpeg,,
benchmark-ort,Cartographie des données de transports (Région Sud),/images/docs/benchmark-ort.png,Liste de jeux de données utiles pour analyser les mobilités,Liste de ressources,1,2020-09-01,ccbysa,,etienne-pichot-damon,"transports,cartographie de données",region-sud,Région Sud,/images/partners/region-sud.jpeg,,
biblio-opendata-culture,Liste de ressources - culture et open data,/images/docs/biblio-culture-opendata.webp,"Une liste des ensembles de données que l'on retrouve dans les collectivités territoriales, par thématique, avec leur niveau de standardisation",Bibliographie,1,2023-04-10,ccbysa,,anne-laure-donzel,"ressources,culture,archives",ministere-culture,Ministère de la Culture,/images/partners/ministere-culture.jpeg,,
bibliotheque-datactivist,La bibliothèque de Datactivist,/images/docs/bibliotheque-datactivist.jpeg,Lectures recommandées pour s'initier à la donnée et se perfectionner.,Bibliographie,1,2023-09-29,ccbysa,,equipe-datactivist,"ouvrages,livres,apprendre",,,,,
boite-outils-datactivist,La boite à outils de Datactivist,/images/docs/boite-outils-datactivist.jpg,"Les outils utilisés par les Datactivistes au quotidien, et leurs recommandations",Liste de ressources,1,2023-10-10,ccbysa,,equipe-datactivist,"outils,logiciels,méthode,test",,,,,
cahier-standardisation,Cahier de l'Observatoire Data Publica. La standardisation des données ouvertes,/images/docs/cahier-standards.jpeg,Ce cahier de l'Observatoire Data Publica présente les enjeux et bonnes pratiques de standardisation des données ouvertes,Guide,1,2023-12-05,,,"samuel-goeta,elise-ho-pun-cheung","standardisation,qualité,schémas",observatoire-data-publica,Observatoire Data Publica,/images/partners/observatoire-data-publica.png,,
cartes-fresque-opendata,Cartes à imprimer - Fresque des données ouvertes,/images/docs/cartes-fresque.jpeg,"Les cartes à jouer, prêtes à imprimer pour animer une fresque des données ouvertes.",Atelier,1,2023-06-14,ccbysa,,"clement-mandron,maelle-fouquenet,magalie-dartus,samuel-goeta","atelier,vocabulaire,jeu",bercy-hub,Bercy Hub,/images/partners/mefr.jpeg,,
carto-ensembles-data-territoires,Cartographie des ensembles de données dans les territoires,/images/docs/carto-ensembles-territoires.png,Une liste des ensembles de données que l'on retrouve dans les collectivités territoriales.,Liste de ressources,1,2021-10-01,ccbysa,,equipe-datactivist,"cartographie de données,territoires,standards",banque-des-territoires,Banque des Territoires,/images/partners/banque-des-territoires.jpeg,,
carto-sante-travail,Cartographie des données sur la santé au travail,/images/docs/carto-sante-travail.jpg,Liste des données existantes et modalités d'accès,Liste de ressources,1,2019-06-01,ccbysa,,equipe-datactivist,"cartographie de données,santé,travail",,,,,
check-list-hackathon,Check-list pour organiser un hackathon,/images/docs/check-list-hackathon.webp,"Logistique, programme - la check-list ultime pour un hackathon réussi",Guide,1,2018-07-01,ccbysa,,cecile-le-guen,"hackathon,évènement,logistique,gestion de projets",,,,"hackathon-infrabel,hackathon-ademe","Hackathon Infrabel, Hackathon Databât"
culture-generale-dataviz,Culture générale de la dataviz,/images/docs/culture-generale-dataviz.png,Comprendre l'histoire et les enjeux de la visualisation de données,Formation,1,2022-07-26,ccbysa,,"samuel-goeta,joel-gombin,sylvain-lapoix","culture générale,apprentissage,histoire,statistique,dataviz",,,,,
culture-generale-donnees-section-1,Qu’est-ce qu’une donnée ? Petite histoire sociale des données et de leur exploitation,/images/docs/culture-generale/1.png,Section 1 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,apprentissage,histoire,statistique,politique",,,,,
culture-generale-donnees-section-2,La datafication ou les promesses de la mise en données du monde,/images/docs/culture-generale/2.png,Section 2 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,apprentissage,histoire,statistique,politique",,,,,
culture-generale-donnees-section-3,Les différents types de données,/images/docs/culture-generale/3.png,Section 3 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,apprentissage,histoire,statistique,politique",,,,,
culture-generale-donnees-section-4,L’écosystème des sources de données publiques,/images/docs/culture-generale/4.png,Section 4 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,ecosystème,portail",,,,,
culture-generale-donnees-section-5,Manipulation et représentation de données - éviter des écueils classiques,/images/docs/culture-generale/5.png,Section 5 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,apprentissage,dataviz",,,,,
culture-generale-donnees-section-6,Open Data et gouvernement ouvert,/images/docs/culture-generale/6.png,Section 6 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,open gov,politique,transparence",,,,,
culture-generale-donnees-section-7,Créer de la valeur à partir des données,/images/docs/culture-generale/7.png,Section 7 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,apprentissage,valorisation,usages,économie",,,,,
culture-generale-donnees-section-8,Cadre juridique,/images/docs/culture-generale/8.png,Section 8 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","législation,histoire,culture générale",,,,,
culture-generale-donnees-section-9,Qu’est-ce que la data science ?,/images/docs/culture-generale/9.png,Section 9 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","culture générale,data science",,,,,
culture-generale-donnees-section-91,"Analyse, modélisation, machine learning et algorithmes",/images/docs/culture-generale/10.png,Section 10 - culture générale des données,Formation,1,2022-06-15,ccbysa,,"samuel-goeta,joel-gombin,clement-mandron","data analyse,algorithmes,machine learning,culture générale,apprentissage",,,,,
culture-generale-donnees,Culture générale des données,/images/docs/culture-generale-donnees.jpeg,Une histoire de la donnée et ses enjeux contemporains,Formation,1,2022-06-15,ccbysa,True,"samuel-goeta,joel-gombin,clement-mandron,arthur-sarazin,julia-dumont","culture générale,apprentissage,histoire,statistique,politique",,,,,
