ID,Title,Journal,journal_image,docs_catalog,references_catalog,Link,Date published,Abstract,research_projects
1,L'ouverture des données publiques boostée par des étudiants,La Gazette des communes,/images/journal/gazette.png,,challenge-sgl,https://www.lagazettedescommunes.com/746151/louverture-des-donnees-publiques-boostee-par-des-etudiants/,2021-05-28,"Méthodologie du « challenge data », organisé par l'institut d'études politiques de Saint-Germain-en-Laye (Yvelines) avec le cabinet Datactivist et le ...",
2,"S'initier aux données sur le modèle des ""fresques du climat""",La Gazette des communes,/images/journal/gazette.png,"livret-fresque-opendata,cartes-fresque-opendata",fresque-mefr,https://www.lagazettedescommunes.com/884614/sinitier-aux-donnees-sur-le-modele-des-fresques-du-climat/,2023-03-10,""" On fait ensemble et on retient ». Autour de la table où sont disposées des cartes à jouer un peu particulières, une quinzaine d'agents de Bercy s'agitent et argumentent. Le ...",
3,Archives : bientôt un standard commun pour la publication des registres des entrées,La Gazette des communes,/images/journal/gazette.png,standard-archives-publiques,,https://www.lagazettedescommunes.com/746837/archives-bientot-un-standard-commun-pour-la-publication-des-registres-des-entrees/,2021-05-25,Un documentariste enquêtant sur la réhabilitation d'un quartier ; un notaire à la recherche des derniers versements de l'administration fiscale pour une succession; un universitaire souhaitant évaluer le volume de ...,
4,E. Hoss (Semaest) : « Le commerce de proximité crée une valeur qui va bien au-delà de l'échange économique »,Le Journal du Grand Paris,/images/journal/grandparis.png,,,https://www.lejournaldugrandparis.fr/e-hoss-semaest-le-commerce-de-proximite-cree-une-valeur-qui-va-bien-au-dela-de-lechange-economique/,2022-02-11,"En partenariat avec Datactivist, la Semaest va lancer une recherche sur les externalités du commerce de proximité. Emmanuelle Hoss, directrice générale de la Semaest, la société d'économie mixte de la ...",excom
5,Open data et marchés publics : des collectivités pionnières partagent leur expérience,Le Moniteur,/images/journal/moniteur.png,ouverture-commande-publique,,https://www.lemoniteur.fr/article/open-data-et-marches-publics-des-collectivites-pionnieres-partagent-leur-experience.2122369,2020-12-17,"La publication des données essentielles de la commande publique, obligatoire depuis le 1er octobre 2018, n'est pas encore pleinement entrée dans les moeurs. La Bretagne et la Ville de Paris ...",
6,"L'""open data"" public en quête d'un nouveau souffle",Acteurs Publics,/images/journal/acteurspublics.png,,,https://acteurspublics.fr/articles/l-open-data-public-en-quete-dun-nouveau-souffle,2020-02-07,L'ouverture des données publiques est décidément de saison. Alors que le ministère de la Justice vient enfin de publier le décret sur la mise à disposition gratuite et en format ...,
7,Chargé d'open data : un métier transversal,La Gazette des communes,/images/journal/gazette.png,,,https://www.lagazettedescommunes.com/665239/charge-dopen-data-un-metier-transversal/,2020-08-24,"Chargé de mission, directeur, responsable, etc. Quel que soit le titre qui lui est donné, le responsable de l'ouverture des données dans une collectivité a un rôle multiple. Identification des ...",
8,"""Acheteurs publics : osez une commande publique plus ouverte!""",Le Moniteur,/images/journal/moniteur.png,ouverture-commande-publique,,https://www.lemoniteur.fr/article/acheteurs-publics-osez-une-commande-publique-plus-ouverte.2128174,2021-12-02,"Emeline Vandeven, consultante Open data et Commande publique chez Datactivist, plaide pour une approche plus ambitieuse de l'open data dans les marchés publics. Un livre blanc élaboré avec la région ...",
9,Sondage : les Français très méfiants sur StopCovid,La Provence,/images/journal/laprovence.png,,,https://www.laprovence.com/article/edition-marseille/5991694/sondage-les-francais-tres-mefiants-sur-stopcovid.html,2020-05-18,L'observatoire Data Publica a dévoilé une étude réalisée le 7 mai sur l'application controversée de traçage StopCovid. Elle révèle que près de six Français sur dix sont favorables à ...,mediation-covid
10,Respecter les standards de données en 5 points clés,La Gazette des communes,/images/journal/gazette.png,standards-territoires,,https://www.lagazettedescommunes.com/855245/respecter-les-standards-de-donnees-en-5-points-cles/,2023-07-03,"Les standards sont partout sans même que l'on s'en rende compte. Ce texte répond à un standard social avec son titre, en grand et tout en haut, son introduction ...",standardisation-donnees-ouvertes
